site,lat,lon
HAWI,21.29897615,-157.81639907976145
PRIN,40.34612035,-74.61607053887278
FIU,25.754294805404385,-80.37028935316201
EDUKY,38.0325,-84.502801
RUTG,40.5235278,-74.4432487
PSC,40.43394339243079,-79.75279924982625
MAX,38.988634450000006,-76.94347941169231
CERN,46.2338702,6.0469869175479545
GATECH,33.7753991,-84.3875488
UCSD,32.88868022489132,-117.23932400094392
AMST,52.3545559,4.9558617
BRIST,51.457802,-2.6083382999999998
TOKY,35.71881,139.744732
STAR,42.235998882912895,-88.15754272774885
CLEM,34.586543500000005,-82.82128891709674
UTAH,40.7574108,-111.8939429
NCSA,40.09584003877901,-88.24153692109071
MICH,42.2931086,-83.7101319
EDC,40.09584003877901,-88.24153692109071
